,S_mean_std,A_mean_std,count,L2_norm
0,0.00048135310054379785,0.43427090818622593,100,113.99115268170306
1,0.0009477268749439576,0.6366851714504591,100,93.81702499068345
2,0.0006813383165447894,0.3710282968546195,100,62.514182306551604
3,0.0008468818023112343,0.4784872637490712,100,66.12017366154839
4,0.0007380735250790411,0.5839138640887346,100,67.88979213828746
5,0.0009499048476816673,0.6369468478692742,100,91.8484445707807
6,0.0005395982510560674,0.35265229991933067,100,39.01952648308427
7,0.001983995322250662,1.762299211329002,100,271.9135159549091
8,0.0003036229177855041,0.22204500296372828,100,95.00853217873227
9,0.0016102193165577823,1.2663275250994026,97,95.68165386780845
10,0.0015741815885714511,0.8572731172280694,93,336.68813372611675
11,0.0011861558076775808,0.8576092897523621,100,88.07974833323246
12,0.0016184724173833103,1.52715026951586,100,63.53393851578319
13,0.0010226424156822636,0.8563138141593933,53,82.17246172727992
14,0.0015870128279909825,0.8888356323748409,100,79.35679636592818
15,0.0006626320259694149,0.501582555063071,100,99.21319647802572
16,0.0026076672351791888,1.596778208895786,100,83.5032498049161
17,0.0004816428471058459,0.3295290629849645,100,86.79760869131323
18,0.0006779536349424256,0.5405225030716998,100,89.61039187189584
19,0.0008047476455670103,0.6026463100432529,100,132.31081784691744
20,0.0012890398776374788,0.8706309608373674,100,75.24931783687948
21,0.0010198546284877633,0.7716099327436843,52,66.07309857736153
