,S_mean_std,A_mean_std,count,L2_norm
0,0.005353192191558659,5.521606824126602e-16,100,4.6858614862884194e-15
1,0.005900293605630906,6.024362722723236e-16,91,3.419904532663992e-15
2,0.006253005463639655,6.648655853194953e-16,100,2.7668656348040015e-15
3,0.003681355259679622,3.7783643411343576e-16,100,5.803282759055454e-15
4,0.005306774416798437,5.055381918744468e-16,100,3.871805759276516e-15
5,0.0022387525550655483,2.2491199595279663e-16,100,3.8380667278985095e-15
6,0.0031904938819649594,3.3440143004888005e-16,100,4.327820188965742e-15
7,0.003028070220456387,3.169726782233599e-16,100,3.6227387338549585e-15
8,0.0058194553579393234,5.050055831201748e-16,59,9.656275739424796e-15
9,0.0017901717054405065,1.8138331727376871e-16,100,6.844996928349866e-15
10,0.0023560064403420834,2.480055017063851e-16,99,3.2026294926569224e-15
11,0.00206943731966886,2.1442419866787258e-16,100,2.1045009138758547e-15
12,0.004136088520085904,4.521488468214972e-16,100,4.61495910796884e-15
13,0.0034300505840753268,3.4669123212355355e-16,100,3.265600924349877e-15
14,0.004188185754304363,3.94448754097587e-16,100,3.450955019303006e-15
15,0.003883785954666824,3.6019226873598443e-16,100,8.78222255077923e-15
16,0.0043265229964995575,4.3212393155884885e-16,100,4.167618116485607e-15
17,0.006375661641890073,7.231018406195295e-16,88,5.694282384415744e-15
18,0.005387955016924619,6.541412360553358e-16,100,3.051988118515715e-15
19,0.004633542684221619,4.797080572730313e-16,100,9.94316005570798e-15
20,0.0038337176703062492,3.622381561268448e-16,100,1.6168537516918386e-15
21,0.006109190140932579,5.795321764576292e-16,100,4.176839402455765e-15
22,0.0021219103058220693,2.1695802719291522e-16,100,2.171647290966778e-15
23,0.0065750062332931465,6.594174765818402e-16,73,5.397210339461545e-15
24,0.006488995026560974,6.416681296647723e-16,58,2.073923629924848e-14
