,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
Abaum_0001,6167079.0,4403847.0,330375.0,192365.0,0.0,0.0,0.0,0.0,352417.0,0.0,0.0,0.0,0.0,472040.0,213540.0,202495.0,71.40896038464888,6167079.0,5974714.0,96.88,192365.0,3.12,Abaum_0001_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6167079.0,0.0,20-51,41.0,26.30448980841199,50.47128243370971,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6172690,2144231,6172690.0,314807190,169667,311892133,0.9259817096299484,0.1598,0.8402,0.0,,
Abaum_0002,5730887.0,3956479.0,332288.0,233606.0,0.0,0.0,0.0,0.0,406844.0,0.0,0.0,0.0,0.0,460456.0,153518.0,187696.0,69.03781212227706,5730887.0,5497281.0,95.92,233606.0,4.08,Abaum_0002_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5730887.0,0.0,20-51,43.0,23.898423879877747,50.52997345786088,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,5735887,1992953,5735887.0,292530237,155954,289832810,0.9221019432599716,0.1319,0.8681,0.0,,
Abaum_0003,6071002.0,4420932.0,45340.0,221182.0,0.0,0.0,0.0,0.0,322476.0,0.0,0.0,0.0,0.0,655347.0,203769.0,201956.0,72.82046686856634,6071002.0,5849820.0,96.36,221182.0,3.64,Abaum_0003_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6071002.0,0.0,20-51,42.0,26.677440723753246,50.45634872134781,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6075776,2160449,6075776.0,309864576,182657,306949424,0.9407825952973728,0.1465,0.8535,0.0,,
Abaum_0004,5664805.0,4094918.0,116138.0,157106.0,0.0,0.0,0.0,0.0,317658.0,0.0,0.0,0.0,0.0,649397.0,160883.0,168705.0,72.2870072314934,5664805.0,5507699.0,97.23,157106.0,2.77,Abaum_0004_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5664805.0,0.0,21-51,42.0,24.04177750682552,50.51878537743136,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,5669326,2011364,5669326.0,289135626,163691,286404708,0.9445110717694816,0.2957,0.7043,0.0,,
Abaum_0005,5583850.0,4054363.0,11765.0,145353.0,0.0,0.0,0.0,0.0,258047.0,0.0,0.0,0.0,0.0,776463.0,168520.0,169339.0,72.6087376988995,5583850.0,5438497.0,97.4,145353.0,2.6,Abaum_0005_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5583850.0,0.0,20-51,42.0,23.375051759771395,50.472741746286175,pass,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,5588013,1998346,5588013.0,284988663,158880,282292257,0.9461450050734124,0.3194,0.6806,0.0,,
Abaum_0006,6248401.0,4454507.0,364564.0,139256.0,0.0,0.0,0.0,0.0,252906.0,0.0,0.0,0.0,0.0,683515.0,175511.0,178142.0,71.29035092338025,6248401.0,6109145.0,97.77,139256.0,2.23,Abaum_0006_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6248401.0,0.0,20-51,43.0,24.09827940032948,50.47822298856939,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,6253018,2244746,6253018.0,318903918,518471,315455209,1.0814257227156423,0.4092,0.5908,0.0,,
Abaum_0007,5980775.0,4310249.0,107952.0,166882.0,0.0,0.0,0.0,0.0,257437.0,0.0,0.0,0.0,0.0,757409.0,189105.0,191741.0,72.06840250636415,5980775.0,5813893.0,97.21,166882.0,2.79,Abaum_0007_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5980775.0,0.0,20-51,43.0,23.9343227236637,50.47476472530734,pass,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,5985587,2109842,5985587.0,305264937,179891,302394321,0.9403687263303352,0.4578,0.5422,0.0,,
Abaum_0008,7026037.0,5342797.0,41484.0,214495.0,0.0,0.0,0.0,0.0,513911.0,0.0,0.0,0.0,0.0,425040.0,214293.0,274017.0,76.04282471043066,7026037.0,6811542.0,96.95,214495.0,3.05,Abaum_0008_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7026037.0,0.0,20-51,41.0,27.46671401399248,50.46758136912742,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,7031263,2532372,7031263.0,358594413,662049,354636536,1.103719649976811,0.1761,0.8239,0.0,,
Abaum_0009,6886904.0,5563183.0,31855.0,145244.0,0.0,0.0,0.0,0.0,43328.0,0.0,0.0,0.0,0.0,625874.0,234643.0,242777.0,80.77915707842014,6886904.0,6741660.0,97.89,145244.0,2.11,Abaum_0009_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6886904.0,0.0,20-40,41.0,24.653705524845023,39.44590747889037,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6889504,2403516,6889504.0,275580160,416491,272028523,1.288785448125148,0.1459,0.8541,0.0,,
Abaum_0010,6031205.0,4894121.0,3901.0,100894.0,0.0,0.0,0.0,0.0,65588.0,0.0,0.0,0.0,0.0,495431.0,244456.0,226814.0,81.14665311492479,6031205.0,5930311.0,98.33,100894.0,1.67,Abaum_0010_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6031205.0,0.0,20-40,41.0,25.985192807739,39.49103769478902,pass,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,6033115,2110892,6033115.0,241324600,323976,238252923,1.2728403983680072,0.1699,0.8301,0.0,,
