,gene_id,database,kegg_id
2305,ABUW_0001,KEGG_pathway,map02020
2306,ABUW_0001,KEGG_pathway,map04112
2313,ABUW_0002,KEGG_pathway,map00230
2314,ABUW_0002,KEGG_pathway,map00240
2315,ABUW_0002,KEGG_pathway,map01100
2316,ABUW_0002,KEGG_pathway,map03030
2317,ABUW_0002,KEGG_pathway,map03430
2318,ABUW_0002,KEGG_pathway,map03440
2320,ABUW_0003,KEGG_pathway,map03440
2322,ABUW_0014,KEGG_pathway,map00970
2332,ABUW_0020,KEGG_pathway,map00480
2333,ABUW_0020,KEGG_pathway,map00980
2334,ABUW_0020,KEGG_pathway,map00982
2335,ABUW_0020,KEGG_pathway,map00983
2336,ABUW_0020,KEGG_pathway,map01524
2337,ABUW_0020,KEGG_pathway,map05200
2338,ABUW_0020,KEGG_pathway,map05204
2339,ABUW_0020,KEGG_pathway,map05225
2340,ABUW_0020,KEGG_pathway,map05418
2343,ABUW_0025,KEGG_pathway,map00670
2344,ABUW_0025,KEGG_pathway,map00970
2352,ABUW_0026,KEGG_pathway,map00290
2353,ABUW_0026,KEGG_pathway,map00770
2354,ABUW_0026,KEGG_pathway,map01100
2355,ABUW_0026,KEGG_pathway,map01110
2356,ABUW_0026,KEGG_pathway,map01130
2357,ABUW_0026,KEGG_pathway,map01210
2358,ABUW_0026,KEGG_pathway,map01230
2366,ABUW_0031,KEGG_pathway,map00620
2367,ABUW_0031,KEGG_pathway,map00680
2368,ABUW_0031,KEGG_pathway,map00710
2369,ABUW_0031,KEGG_pathway,map00720
2370,ABUW_0031,KEGG_pathway,map01100
2371,ABUW_0031,KEGG_pathway,map01120
2372,ABUW_0031,KEGG_pathway,map01200
2375,ABUW_0035,KEGG_pathway,map01501
2376,ABUW_0035,KEGG_pathway,map01503
2384,ABUW_0039,KEGG_pathway,map00261
2385,ABUW_0039,KEGG_pathway,map00300
2386,ABUW_0039,KEGG_pathway,map01100
2387,ABUW_0039,KEGG_pathway,map01110
2388,ABUW_0039,KEGG_pathway,map01120
2389,ABUW_0039,KEGG_pathway,map01130
2390,ABUW_0039,KEGG_pathway,map01230
2392,ABUW_0047,KEGG_pathway,map03410
2394,ABUW_0050,KEGG_pathway,map03410
2399,ABUW_0059,KEGG_pathway,map00230
2400,ABUW_0059,KEGG_pathway,map01100
2401,ABUW_0059,KEGG_pathway,map01110
2402,ABUW_0059,KEGG_pathway,map01130
2410,ABUW_0061,KEGG_pathway,map00261
2411,ABUW_0061,KEGG_pathway,map00300
2412,ABUW_0061,KEGG_pathway,map01100
2413,ABUW_0061,KEGG_pathway,map01110
2414,ABUW_0061,KEGG_pathway,map01120
2415,ABUW_0061,KEGG_pathway,map01130
2416,ABUW_0061,KEGG_pathway,map01230
