	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1215168	24135754.0	132991.0	0.0	23963720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32062.0	1435.0	5546.0	0.5510124108822123	24135754.0	172034.0	0.71	23963720.0	99.29	ERX1215168_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24135754.0	0.0	20-37	42.0	25.103906769983894	36.35752187397999	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	24450008	8950007	24450008	904650296	9408594	879387159	2.792585943065894	0.5714	0.4286	0.0		
ERX1215169	57706886.0	170414.0	0.0	57366751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167458.0	1883.0	380.0	0.2953096446756805	57706886.0	340135.0	0.59	57366751.0	99.41	ERX1215169_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57706886.0	0.0	20-37	43.0	78.95086157580673	36.431748422536614	pass	fail	fail	pass	fail	pass	fail	warn	pass	pass	pass	59076574	21331229	59076574	2185833238	23503572	2108583338	3.534116814450234	0.8235	0.1765	0.0		
ERX1215170	14304343.0	63778.0	0.0	14220228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15995.0	487.0	3855.0	0.4458645881184477	14304343.0	84115.0	0.59	14220228.0	99.41	ERX1215170_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14304343.0	0.0	20-37	42.0	25.217581468510836	36.44894365298707	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	14536963	5417926	14536963	537867631	979039	522383002	2.8788921488380104					
ERX1215171	27309354.0	175772.0	0.0	27073161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43052.0	5478.0	11891.0	0.6436329471579592	27309354.0	236193.0	0.86	27073161.0	99.14	ERX1215171_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27309354.0	0.0	20-37	42.0	8.749133251732259	36.47024162490259	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	27550716	10157595	27550716	1019376492	1834694	996428030	2.2512253500152326	0.5	0.5	0.0		
ERX1215172	31903213.0	177099.0	0.0	31652956.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66106.0	6882.0	170.0	0.555113367421645	31903213.0	250257.0	0.78	31652956.0	99.22	ERX1215172_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31903213.0	0.0	20-37	42.0	20.46711260437532	36.39345836420927	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	32717426	12721572	32717426	1210544762	2705083	1164090772	3.837445046084136	0.75	0.25	0.0		
ERX1215173	18168221.0	93267.0	0.0	18051556.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20698.0	2544.0	156.0	0.5133524080315843	18168221.0	116665.0	0.64	18051556.0	99.36	ERX1215173_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18168221.0	0.0	20-37	43.0	20.085209659367923	36.47846935591547	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	18311222	6682450	18311222	677515214	1034412	663161420	2.1185936054861787	1.0	0.0	0.0		
ERX1221046	3176088.0	10655.0	0.0	3160306.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	4479.0	347.0	269.0	0.33547559135641075	3176088.0	15782.0	0.5	3160306.0	99.5	ERX1221046_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3176088.0	0.0	20-201	42.0	33.22811969290494	132.2348593615794	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	3183038	2862007	3183038	639790638	44800205	419983711	34.35607118089777					
ERX1221047																																											4479299	0	4479299	900339099	900339099	0	100.0					
ERX1221048	5496395.0	18297.0	0.0	5467964.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	9189.0	622.0	306.0	0.33289092214078503	5496395.0	28431.0	0.52	5467964.0	99.48	ERX1221048_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5496395.0	0.0	20-201	42.0	25.85648690866979	134.6621421859237	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5510363	5072979	5510363	1107582963	63062872	740415260	33.150356701541284					
ERX1221049	2135809.0	6924.0	0.0	2124628.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	3825.0	270.0	154.0	0.3241862919390264	2135809.0	11181.0	0.52	2124628.0	99.48	ERX1221049_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2135809.0	0.0	22-201	43.0	33.547889189501674	143.78760553963392	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2140690	1903455	2140690	430278690	18590617	307395669	28.558937232053022					
