Geneid,SRX5931000,SRX2568048,SRX4488551,SRX2568049,SRX3141476,SRX8944522,SRX2568047,SRX4488553,ERX1215173,SRX8944518,SRX2568063,SRX3141478,SRX8944523,SRX8696869,SRX8944520,SRX5931001,SRX2568051,SRX3737107,SRX3737105,SRX2568050,SRX8696871,SRX8696864,ERX1215172,SRX2568061,SRX5930999,SRX3141477,ERX1221049,SRX2568062,SRX3141472,SRX2568056,SRX4488552,ERX1221048,SRX2568058,ERX1215169,SRX4488549,ERX1215170,SRX8696870,SRX3141475,SRX2568052,SRX4488546,SRX3141474,ERX1215171,SRX8696865,SRX2568054,SRX8696868,ERX1221052,SRX1928979,SRX3737104,ERX1221050,SRX1928980,SRX8944521,SRX2568057,SRX8696866,SRX3141471,ERX1221046,SRX4488555,SRX3737106,SRX4488550,SRX4488547,SRX2568053,SRX4488554,SRX2568055,SRX3141479,ERX1221053,SRX2568059,SRX1928983,SRX2568060,SRX3141473,SRX5930997,SRX8944519,SRX8696867,SRX2568064,ERX1215168,SRX4488548,SRX5930998,SRX4488556,SRX1464764,SRX4488557,SRX5931002
ABUW_6001,592,22715,28123,12240,1789,4118,11514,10768,0,4079,255,3202,3320,1,2980,1408,5363,0,0,6121,1,1,1,1379,1306,1964,0,1957,2436,5835,4763,0,7991,6,6335,0,0,2576,8674,4184644,2503,1,0,7580,0,0,3457,0,0,0,1820,14863,3,2982,0,11006,0,22184,310791,28174,36331,14047,2351,0,535,1587,493,2132,1887,4520,1,1265,3,11721,706,20046,122,10718,1328
ABUW_6002,168,80,7401,2684,481,1122,57,3166,1,1297,15,609,1041,0,936,331,50,0,0,38,0,0,0,321,458,587,0,435,694,58,1406,0,61,2,2157,0,0,489,63,958436,687,0,0,96,1,0,356,0,0,0,579,113,1,566,0,3016,0,2836,82063,6581,8194,36,378,0,138,182,149,553,748,1647,0,156,3,4100,176,7144,5,4406,310
ABUW_6003,1888,1657,12553,1344,3415,4830,704,10006,0,5000,114,4197,4966,1,3481,3431,424,0,0,412,0,0,2,2466,1986,3281,0,1543,4923,521,11941,0,623,4,7400,0,0,5242,773,846220,3933,1,0,2075,0,0,4920,0,0,0,2292,1625,1,4819,0,9201,0,3628,77455,3589,9262,888,3609,0,1119,2000,1045,3910,2548,5768,1,1005,0,10193,1749,11536,65,11547,3413
ABUW_5001,2899,6639,8477,4649,3408,3410,3156,12384,4718,4703,78,2846,4286,1,2736,2191,5386,11073,8184,3768,0,0,7378,1549,2638,2821,253,1014,3783,4393,10190,701,3667,7160,5324,2684,2,2752,7481,39757,4340,8438,0,3631,0,695,2855,14001,519,3172,1616,4616,1,2972,394,21593,10859,1720,6216,11748,4025,2825,2522,490,735,4646,750,4080,3719,4010,1,575,5212,8328,3239,8801,100,10602,1819
ABUW_5002,945,3316,6917,2915,1112,3825,2434,6872,1930,5353,996,1049,4632,0,2465,1020,8625,2575,1731,4754,0,0,3280,3156,1345,1135,120,5804,1349,6952,4885,423,5305,4965,1690,1517,0,1321,11953,32071,1708,4025,0,3284,0,385,1289,2958,247,1307,1876,8616,0,1535,218,10341,2252,2248,3081,7584,3176,1802,1106,250,994,1673,1412,1592,1484,4404,0,2059,4440,4487,774,5232,93,5913,914
ABUW_5003,86,131,2304,532,242,720,116,2906,116,948,47,334,797,0,508,243,300,640,407,189,0,0,176,186,96,287,20,207,362,222,1575,62,145,579,144,110,0,259,346,9856,406,205,0,129,0,62,266,836,52,322,380,250,0,485,30,5532,700,778,391,1291,1235,60,325,41,78,328,94,297,80,692,0,78,770,1557,49,1385,9,2816,252
ABUW_5004,5046,3146,11419,2368,8825,15668,1674,15421,19434,19747,264,5664,22066,0,13112,3559,6624,53657,36128,4684,0,0,35973,3463,5878,6549,476,3180,8759,5039,25583,1482,3666,33209,38747,16583,1,6224,9637,72421,13215,34902,0,6299,2,835,5471,58089,1385,11169,8739,7635,1,7377,754,14707,44716,1875,27959,4808,5743,1349,6735,622,1328,8759,1545,14416,8420,24352,0,2687,29632,10720,6113,11178,59,13964,3233
ABUW_5005,1,2,221,2,10,3,0,31,3,2,0,10,0,0,0,2,0,87,62,0,0,0,0,0,2,6,0,0,9,0,21,1,0,7,11,0,0,8,2,1549,1,8,0,1,0,4,3,129,0,3,0,0,0,0,1,32,78,50,68,5,100,0,2,2,0,2,0,0,0,0,0,0,7,81,0,145,0,43,1
ABUW_5006,7612,3969,33655,1549,2569,1847,1196,44389,4481,2097,33,6006,1870,0,1624,8109,430,4164,2423,344,0,0,6695,3700,3292,2495,62,1073,7105,477,11387,161,446,4357,10271,2318,1,2876,585,22327,3389,4434,1,1263,2,194,5099,4003,201,2282,1245,325,0,1882,128,57916,3459,9034,10983,7748,26271,1160,2177,134,1659,6341,1692,2822,4663,2474,1,671,2605,19845,8886,91692,226,34290,7668
ABUW_5007,4856,1440,39390,1220,4108,1525,588,46182,748,1777,33,8392,1657,0,1531,2852,158,4529,2628,144,0,0,1265,786,2299,3021,83,229,7395,93,12469,212,110,2480,10994,1239,1,4689,176,28003,4877,818,1,457,0,172,5384,4653,180,2590,924,135,0,3074,114,73690,3712,6139,13302,3229,22306,381,3409,142,352,5317,327,6203,3479,2231,2,123,2563,23203,5737,81825,293,43130,2637
ABUW_5008,7127,6304,121597,15824,18629,30087,3278,51223,20492,26598,1750,22367,24689,0,22871,5529,7522,43518,31602,5489,0,1,33727,9712,6183,15109,1493,12650,24459,5438,42595,4438,4344,42561,19350,11820,2,22463,10110,189312,24900,60976,1,5766,2,3720,24973,52402,2550,16914,11600,7688,5,25739,2877,73784,40711,21239,37950,41083,49349,2582,18568,2475,3850,14914,4356,27337,7923,29711,2,8731,41231,100658,6748,162691,432,117446,5156
ABUW_5010,13222,9189,20779,11620,6640,10726,4545,12560,13864,11555,99,4300,16212,4,8422,7579,17859,40864,27263,14517,0,0,34714,1190,20763,5021,499,1361,6329,16675,18269,1392,12419,19399,23564,11500,2,4458,30766,60781,8153,28970,3,9649,2,1141,7289,43378,1443,9760,5561,13028,3,5407,890,11298,33790,2977,34806,27149,7220,3680,4482,681,457,13522,548,9512,30069,12662,1,731,13396,17570,25563,24562,119,22272,6229
ABUW_5011,2012,750,3414,1990,2086,946,289,795,215,1052,4,2110,1287,0,711,802,477,2338,1753,332,0,0,408,146,1805,1672,68,95,2575,400,914,150,287,800,3322,496,0,2572,628,10038,2233,390,0,906,0,140,1174,2702,152,1219,630,424,0,2191,87,597,2287,605,3381,6775,2111,419,2442,101,47,2149,47,2284,2180,1367,1,9,812,2293,1791,5279,45,2673,792
ABUW_5012,1893,3817,4828,2698,4336,3075,1560,1453,2416,3542,37,3781,3879,0,2649,1878,1790,2339,1753,1419,0,0,3832,911,2770,3589,101,674,3248,2263,1790,283,1620,2918,4191,1584,0,4934,3189,18880,3708,3163,1,4468,0,186,924,3101,277,1237,2051,2594,0,3644,147,1081,2238,794,3558,6082,2701,2007,3617,125,326,1263,353,4474,3594,4867,0,184,2424,2974,1923,6112,15,3396,1769
ABUW_5013,3,158,3233,141,15,6,87,114,2,3,0,17,0,0,1,7,32,503,371,38,0,0,2,1,3,41,2,3,18,57,87,13,31,34,37,10,0,21,44,10941,21,61,0,46,0,6,12,694,7,24,1,47,0,18,7,146,740,645,355,336,2099,79,30,4,0,10,0,34,4,5,0,2,58,1471,5,4516,0,1964,3
ABUW_5014,4,278,3210,820,92,21,98,180,15,18,0,155,16,0,8,13,23,981,716,30,0,0,20,0,5,67,6,6,138,27,126,17,32,122,36,26,0,58,41,7255,140,71,0,55,0,12,32,1291,3,86,4,45,0,86,10,206,1006,520,340,2359,994,119,55,17,2,39,2,61,4,23,0,0,162,697,11,1852,3,725,9
ABUW_RS00005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUW_RS00050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
